user_id;site_version;time;banner_clicked
f500b9f27ac611426935de6f7a52b71f;X;28.01.2019 16:47;0
cb4347c030a063c63a555a354984562f;Y;31.03.2019 17:34;0
89cec38a654319548af585f4c1c76b51;X;06.02.2019 09:22;0
1d4ea406d45686bdbb49476576a1a985;X;23.05.2019 08:07;0
d14b9468a1f9a405fa801a64920367fe;X;28.01.2019 08:16;0
59bde6d0e359799113903306d380a30f;X;04.04.2019 03:35;0
413a222c9634030cae109b256e05ef98;Y;11.05.2019 14:05;0
418e5cc3bfb8d47c45dba94469d268c8;X;24.04.2019 13:43;0
011c74d9a2be20d66623d5cefb335094;X;07.03.2019 08:47;0
f0baade4718ab1c2643cfbef6fc0afc8;X;23.05.2019 18:20;0
1559f952caea964cc899e76cd59c35bc;Y;22.02.2019 14:06;0
48bfdf3bddb6fe5d0a3db9e5577da006;Y;22.01.2019 10:12;0
b98db3d23980da1d017077a0e3787b34;Y;08.04.2019 10:23;0
2f20dcf7df07a0d941974b9f45ba6370;Y;23.05.2019 06:53;1
3fd1921dff440166748df9f4194521cc;Y;01.05.2019 17:32;1
ed6dd9c973affed08ec1bb2b5d449c63;Y;31.05.2019 08:36;0
58df7c4e9ec825a3cf05b9f893a67d17;X;04.05.2019 21:59;0
11eef34f7f41e079afcd824a52dce888;Y;22.01.2019 21:52;0
1e8d79b4ed6554ac0c52ed1bda00c8e0;Y;25.03.2019 12:17;0
4714b33a4af34c8b500780184c80dbeb;Y;15.01.2019 14:58;0
b290bf4bd1afef23f109ba06ac96dc32;Y;23.01.2019 07:03;0
a1532af2fb9680a5146654a3f58f453f;X;01.04.2019 11:31;0
6d86c03b337052614bb9030569b0c26f;X;03.05.2019 08:39;0
31d3888e340ef90004475b6e6c64bbb6;X;17.05.2019 19:54;0
279b138f0e6f7f35259172490018ceb4;X;04.03.2019 05:05;0
6bf3da3d5763a555a90e1ff2a4c9d1ac;Y;04.01.2019 17:59;0
4f70d23457304e72b764a720392f000d;X;19.02.2019 09:42;0
aa19ec58e7c0cc26e3de0ba3f8542880;Y;08.02.2019 22:34;1
e7768f50be8aeb21b131285e4aca0dac;Y;20.04.2019 17:36;0
236fcf31ef33014874705b69a2b7b7ad;X;15.02.2019 07:06;0
dbd3c329fff679f98df398484983eca1;Y;02.04.2019 07:26;0
f44d2edf99fe8a5ab71f61bc099a8017;Y;19.01.2019 08:58;0
8ea66656985f801d30a7bd3e0ca25c8b;Y;09.04.2019 12:01;0
0c6cd6596317c615cc91cad0a2c84653;Y;02.03.2019 04:00;0
eb568f311f7ddccac2824e3b7d528fc0;Y;15.03.2019 06:59;0
013d8965d4c81401c0bc6abb8ebab4ff;Y;21.03.2019 12:16;0
180a6496e3b67ef84815bd34ad235939;X;23.03.2019 21:13;0
4c34a1b2e7151b1f89da2c4fe457d430;Y;02.04.2019 11:53;0
bc11440899f1ff7d63f1ea615497cb76;Y;05.04.2019 22:25;0
